event_id_cnty,event_date,event_type,sub_event_type,country,admin1,admin2,latitude,longitude,fatalities
CHI9152,2022-07-17,Strategic developments,Looting/property destruction,Chile,Los Rios,Valdivia,-39.4524,-72.7711,0
CHI9130,2022-07-09,Protests,Peaceful protest,Chile,Los Lagos,Llanquihue,-41.7704,-73.321,0
CHI8813,2022-05-01,Riots,Violent demonstration,Chile,Metropolitana,Santiago,-33.4546,-70.6823,1
CHI8539,2022-03-30,Riots,Violent demonstration,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI8562,2022-04-06,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI8909,2022-05-21,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI8934,2022-05-30,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI8972,2022-06-07,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI9053,2022-06-19,Strategic developments,Looting/property destruction,Chile,Los Lagos,Osorno,-40.5135,-73.4081,0
CHI9178,2022-07-25,Riots,Violent demonstration,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI9251,2022-08-11,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI9293,2022-08-16,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI9331,2022-08-24,Strategic developments,Arrests,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI9384,2022-09-04,Strategic developments,Other,Chile,Araucania,Malleco,-38.1306,-72.3216,0
CHI9385,2022-09-04,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI9424,2022-09-11,Riots,Violent demonstration,Chile,Metropolitana,Santiago,-33.4962,-70.6284,0
CHI9579,2022-10-31,Protests,Peaceful protest,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI9605,2022-11-10,Strategic developments,Looting/property destruction,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI9650,2022-11-16,Protests,Peaceful protest,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI9775,2022-12-07,Riots,Violent demonstration,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI9781,2022-12-05,Protests,Peaceful protest,Chile,Biobio,Arauco,-37.7991,-73.39,0
CHI9807,2022-12-26,Riots,Mob violence,Chile,Los Lagos,Osorno,-40.5135,-73.4081,0
CHI8225,2022-01-18,Violence against civilians,Attack,Chile,Araucania,Malleco,-37.9545,-72.4344,1
CHI8248,2022-02-03,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI8334,2022-03-03,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI8647,2022-04-21,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI8760,2022-05-03,Protests,Peaceful protest,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI8870,2022-05-16,Riots,Violent demonstration,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI8898,2022-05-20,Violence against civilians,Attack,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI8973,2022-06-09,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI9021,2022-06-11,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
